City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
62,Porto Novo,BJ,2022-05-15 20:32:36,6.4965,2.6036,84.02000000000004,82,66,2.42
63,New Norfolk,AU,2022-05-15 20:32:37,-42.7826,147.0587,47.912000000000035,81,56,0.89
64,Balloch,GB,2022-05-15 20:32:37,56.0,-4.5833,60.656000000000006,48,92,7.72
65,Torbay,CA,2022-05-15 20:32:38,47.6666,-52.7314,39.27199999999999,76,20,6.17
66,Chor,PK,2022-05-15 20:32:39,25.5167,69.7667,83.73200000000003,62,0,9.38
67,Port Alfred,ZA,2022-05-15 20:32:40,-33.5906,26.891,59.18000000000001,92,0,5.3
68,Iqaluit,CA,2022-05-15 20:30:11,63.7506,-68.5145,28.129999999999995,74,100,7.2
69,Puerto Ayora,EC,2022-05-15 20:32:41,-0.7393,-90.3518,85.964,92,77,0.89
70,Punta Arenas,CL,2022-05-15 20:28:05,-53.15,-70.9167,46.50799999999998,71,0,3.6
71,Faanui,PF,2022-05-15 20:32:42,-16.4833,-151.75,80.29400000000004,67,43,2.79
72,Kavaratti,IN,2022-05-15 20:32:43,10.5669,72.642,81.392,79,100,7.83
73,Namwala,ZM,2022-05-15 20:32:44,-15.7504,26.4384,57.50600000000003,62,0,2.01
74,Margherita,IN,2022-05-15 20:32:44,27.2833,95.6833,71.81599999999997,97,100,0.7
75,Kaitangata,NZ,2022-05-15 20:32:45,-46.2817,169.8464,43.483999999999924,92,11,1.86
76,Bose,IT,2022-05-15 20:32:46,45.4612,8.0137,67.20799999999991,86,80,2.43
77,Lompoc,US,2022-05-15 20:29:07,34.6391,-120.4579,69.94400000000002,81,100,8.05
78,Huarmey,PE,2022-05-15 20:32:47,-10.0681,-78.1522,68.98999999999995,71,87,3.92
79,Flin Flon,CA,2022-05-15 20:32:48,54.7682,-101.865,42.63799999999998,65,100,5.14
80,Jiuquan,CN,2022-05-15 20:32:48,39.7432,98.5174,47.012,15,38,1.42
81,Charleville-Mezieres,FR,2022-05-15 20:32:49,49.7667,4.7167,61.843999999999994,89,43,2.44
82,Kalininsk,RU,2022-05-15 20:32:50,51.5,44.4758,46.057999999999936,94,14,3.42
83,Mar Del Plata,AR,2022-05-15 20:29:36,-38.0023,-57.5575,52.952000000000055,82,82,2.68
84,Bulawayo,ZW,2022-05-15 20:32:51,-20.15,28.5833,56.26399999999995,82,1,4.97
85,Provideniya,RU,2022-05-15 20:32:51,64.3833,-173.3,37.14799999999997,66,100,3.65
86,Caluquembe,AO,2022-05-15 20:32:52,-13.7833,14.6833,65.19199999999995,51,97,0.54
87,Kwinana,AU,2022-05-15 20:32:53,-32.25,115.7667,53.744000000000085,77,43,4.28
88,Hasaki,JP,2022-05-15 20:32:53,35.7333,140.8333,57.59600000000006,78,100,6.33
89,Barcelos,PT,2022-05-15 20:33:54,41.5388,-8.6151,63.84199999999993,92,92,4.68
